InfoCube,Version,Object Status,Content Release,Content Timestamp,Owner,BW Application,INFOAREA,Cube Type,Cube Sub Type
0TMS_C23,D,INA,747,"2,01,30,80,80,61,018",SAP,BW,0SCM_TM_IC,B,
0TMS_C22,D,INA,747,"2,01,30,80,90,53,800",SAP,BW,0SCM_TM_IC,B,
0TMS_C21,D,INA,7.4/07,"2,01,30,22,70,75,154",SAP,BW,0SCM_TM_IC,B,
0TMS_C20,D,INA,,"2,01,20,62,91,32,959",SAP,BW,0SCM_TM_IC,B,
0TMS_C19,D,INA,7.0/06,"2,01,10,90,81,42,152",SAP,BW,0SCM_TM_IC,B,
0TMS_C18,D,INA,747,"2,01,30,80,80,64,840",SAP,BW,0SCM_TM_IC,B,
0TMS_C16,D,INA,747,"2,01,30,73,11,20,453",SAP,BW,0SCM_TM_IC,B,
0TMS_C15,D,INA,7.4/07,"2,01,30,22,21,33,157",SAP,BW,0SCM_TM_IC,B,
0TMS_C14,D,INA,747,"2,01,30,73,11,20,347",SAP,BW,0SCM_TM_IC,B,
0TMS_C12,D,INA,747,"2,01,30,80,70,61,135",SAP,BW,0SCM_TM_IC,B,
0TMS_C11,D,INA,747,"2,01,30,80,70,74,426",SAP,BW,0SCM_TM_IC,B,
0TMC_MP06,D,INA,7.0/05,"2,01,00,40,10,92,440",SAP,BW,0PA_TMC,M,
0TMC_MP05,D,INA,7.0/05,"2,01,00,22,51,41,357",SAP,BW,0PA_TMC,M,
0TMC_MP04,D,INA,7.0/05,"2,01,00,21,01,61,015",SAP,BW,0PA_TMC,M,
0TMC_MP03,D,INA,7.0/05,"2,01,00,21,01,60,948",SAP,BW,0PA_TMC,M,
0TMC_MP02,D,INA,7.0/05,"2,01,00,32,50,83,947",SAP,BW,0PA_TMC,M,
0TMC_MP01,D,INA,7.0/05,"2,01,00,12,51,65,249",SAP,BW,0PA_TMC,M,
0TMC_C06,D,INA,7.0/05,"2,01,00,40,10,92,249",SAP,BW,0PA_TMC,B,
0TMC_C05,D,INA,7.0/05,"2,01,00,22,51,40,731",SAP,BW,0PA_TMC,B,
0TMC_C04,D,INA,7.0/05,"2,01,00,21,01,60,816",SAP,BW,0PA_TMC,B,
0TMC_C03,D,INA,7.0/05,"2,01,00,21,01,60,755",SAP,BW,0PA_TMC,B,
0TMC_C02,D,INA,7.0/05,"2,01,00,32,50,84,028",SAP,BW,0PA_TMC,B,
0TMC_C01,D,INA,7.0/05,"2,01,00,12,51,64,337",SAP,BW,0PA_TMC,B,
0TM_MP02,D,INA,7.0/03,"2,00,71,00,11,31,428",SAP,BW,0HCM_TM_ANALYTICS_1_EHP3,M,
0TM_MP01,D,INA,7.0/05,"2,01,00,32,40,71,126",SAP,BW,0PA_TMTM,M,
0TM_C01,D,INA,7.0/03,"2,00,61,00,60,72,347",SAP,BW,0PA_TMTM,B,
0TE_MP07,D,INA,7.0/03,"2,00,60,70,50,93,324",SAP,BW,0TC_NM,M,
0TE_MP05,D,INA,7.0/03,"2,00,60,72,51,02,424",SAP,BW,0TC_NM,M,
